stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
CHAI02,CHAI02,Chaillas,Bidart - Chaillas,43.44653000,-1.58023200,,,0,place_CHAI,2,CHAI02,Bidart,CHAI02,Direction ~ Norabidea: Biarritz Mairie de Biarritz Louis Barthou,64125
CHLE01,CHLE01,Chalets,Biarritz - Chalets,43.47483300,-1.56266100,,,0,place_CHLE,2,CHLE01,Biarritz,CHLE01,Direction ~ Norabidea: Biarritz Harispe,64122
CHAL01,CHAL01,Chalibardon,Bayonne - Chalibardon,43.48867100,-1.45101000,,,0,place_CHAL,2,CHAL01,Bayonne,CHAL01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
CHAL02,CHAL02,Chalibardon,Bayonne - Chalibardon,43.48856300,-1.45090300,,,0,place_CHAL,2,CHAL02,Bayonne,CHAL02,Direction ~ Norabidea: Bayonne Hauts de Bayonne,64102
PLAG03,PLAG03,Chambre d'Amour,Anglet - Chambre d'Amour,43.50067500,-1.53859500,,,0,place_PLAG,2,PLAG03,Anglet,PLAG03,Direction ~ Norabidea: Anglet Coeur de Sutar/Troix Croix / Bayonne Place des Basques,64024
PLAG05,PLAG05,Chambre d'Amour,Anglet - Chambre d'Amour,43.50135300,-1.53804800,,,0,place_PLAG,2,PLAG05,Anglet,PLAG05,Direction ~ Norabidea: Bayonne Hauts de Bayonne / Bidart Lore Landa,64024
CHFO01,CHFO01,Champ de Foire,Bayonne - Champ de Foire,43.49000100,-1.48148500,,,0,place_CHFO,2,CHFO01,Bayonne,CHFO01,Direction ~ Norabidea: Bayonne Glain,64102
CHFO02,CHFO02,Champ de Foire,Bayonne - Champ de Foire,43.49000000,-1.48165800,,,0,place_CHFO,2,CHFO02,Bayonne,CHFO02,Direction ~ Norabidea: Bayonne Porte d'Espagne,64102
CHANT02,CHANT02,Chantecoeur,Tarnos - Chantecoeur,43.54550700,-1.45482000,,,0,place_CHANT,2,CHANT02,Tarnos,CHANT02,Direction ~ Norabidea: Tarnos collège Wallon / Tarnos Castillon,40312
CHPL01,CHPL01,Chapelet,Biarritz - Chapelet,43.46594100,-1.54074100,,,0,place_CHPL,2,CHPL01,Biarritz,CHPL01,Direction ~ Norabidea: Bayonne Gare de Bayonne Parvis,64122
