route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order,route_group
108,TXIKTXAK-NORD,108,BIDART La Source - BIARRITZ Fal,3,76B82A,ffffff,1000,LITTORAL
110,TXIKTXAK-NORD,110,Gare de BAYONNE Parvis - ANGLET Cantau,3,8C1D82,ffffff,1000,LITTORAL
112,TXIKTXAK-NORD,112,Gare de BAYONNE - ANGLET Cantau,3,0095DB,ffffff,1000,LITTORAL
114,TXIKTXAK-NORD,114,TARNOS La Plaine - BAYONNE Marrac,3,814A36,ffffff,1000,LITTORAL
116,TXIKTXAK-NORD,116,TARNOS La Plaine - BAYONNE Marrac,3,EC619F,ffffff,1000,LITTORAL
118,TXIKTXAK-NORD,118,TARNOS Grand Jean - BAYONNE Marrac,3,FBBA00,ffffff,1000,LITTORAL
120,TXIKTXAK-NORD,120,TARNOS Grand Jean - BAYONNE Marrac,3,0063AF,ffffff,1000,LITTORAL
122,TXIKTXAK-NORD,122,SAINT-PIERRE-D'IRUBE Hillans - BAYONNE Belharra - BAYONNE Marrac-Largenté,3,009640,ffffff,1000,LITTORAL
124,TXIKTXAK-NORD,124,SAINT-PIERRE-D'IRUBE Bel Air - SAINT-PIERRE-D'IRUBE Aturri,3,CE7717,ffffff,1000,LITTORAL
126,TXIKTXAK-NORD,126,BAYONNE Séqué - BAYONNE Camus,3,95C11F,ffffff,1000,LITTORAL
128,TXIKTXAK-NORD,128,BIARRITZ St-Martin - Mairie de BIARRITZ - BAYONNE Villa Pia,3,E30613,ffffff,1000,LITTORAL
130,TXIKTXAK-NORD,130,BIARRITZ Halle Iraty - BIARRITZ Fal,3,EA5297,ffffff,1000,LITTORAL
136,TXIKTXAK-NORD,136,BIDART Uhabia - BIARRITZ Cité Scolaire,3,635015,ffffff,1000,LITTORAL
138,TXIKTXAK-NORD,138,ARCANGUES Bourg - BAYONNE Marrac-Largenté,3,40BBC7,ffffff,1000,LITTORAL
N10,TXIKTXAK-NORD,N10,BIARRITZ Harispe - BIARRITZ Haraout,3,E73447,ffffff,1000,LITTORAL
N11,TXIKTXAK-NORD,N11,BIARRITZ Hippodrome - BIARRITZ St-Charles,3,51AF47,ffffff,1000,LITTORAL
N12,TXIKTXAK-NORD,N12,BIARRITZ Jardin Public - BIARRITZ Clinique Aguilera,3,EC6FA7,ffffff,1000,LITTORAL
N1,TXIKTXAK-NORD,N1,BAYONNE Porte d'Espagne - BAYONNE Glain,3,94C023,ffffff,1000,LITTORAL
N2,TXIKTXAK-NORD,N2,BAYONNE Quartier Arènes -  BAYONNE Quartier St-Esprit,3,941D81,ffffff,1000,LITTORAL
N6,TXIKTXAK-NORD,N6,BAYONNE Hôpital - BAYONNE La Floride,3,263F90,ffffff,1000,LITTORAL
