stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
place_TECH,,Technocité,,43.46795382,-1.49159167,,,1,,0,Bayonne,,place_TECH,
place_LATE,,Tellechea,,43.48175550,-1.39225350,,,1,,0,Lahonce,,place_19118,
place_CATO,,Toki Eder,,43.36151800,-1.39467200,,,1,,0,Cambo-les-Bains,,place_532500003,
place_HATO,,Toki Ona,,43.40718850,-1.31167000,,,1,,0,Hasparren,,place_16015,
place_CATR,,Trinquet,,43.36182000,-1.40029000,,,1,,0,Cambo-les-Bains,,place_568830002,
place_ESCE,,Undurein Centre,,43.28250000,-0.87580000,,,1,,0,Espès-Undurein,,place_17793,
place_SJUR,,Ur Bidea,Saint-Jean-de-Luz - Ur Bidea,43.38320350,-1.65002700,,,1,,0,Saint-Jean-de-Luz,,,
place_HAUR,,Urcuray,,43.36767600,-1.35659100,,,1,,0,Hasparren,,place_19077,
place_CAUR,,Urtsua,,43.36085100,-1.37863500,,,1,,0,Cambo-les-Bains,,place_526690002,
place_CAUS,,Usimendia,,43.35701700,-1.41011450,,,1,,0,Cambo-les-Bains,,place_779560001-783520001,
place_BEVI,,Village,,43.32768100,-1.00626150,,,1,,0,Béhasque-Lapiste,,place_27708,
place_ETVI,,Village,,43.32157200,-0.92881650,,,1,,0,Etcharry,,place_27711,
place_MAVI,,Village,,43.38988850,-1.09734200,,,1,,0,Masparraute,,place_27643,
place_SAVI,,Village,,43.52347500,-1.15756650,,,1,,0,Sames,,place_10310,
place_UHVI,,Village,,43.16462500,-1.24322000,,,1,,0,Uhart-Cize,,place_27786,
place_VIEG,,Viodos Egui Begia,,43.24465300,-0.87899150,,,1,,0,Viodos-Abense-de-Bas,,place_16996,
place_SPXAN,,Xan Ithurria Gantxiki,Saint-Pée-sur-Nivelle - Xan Ithurria Gantxiki,43.35470500,-1.54888500,,,1,,0,Saint-Pée-sur-Nivelle,,place_SPXAN,
place_SPZI,,Z.A. Lizardia ~ Lizardia A.E.,Saint-Pée-sur-Nivelle - Z.A. Lizardia ~ Lizardia A.E.,43.35773230,-1.57470681,,,1,,0,Saint-Pée-sur-Nivelle,,,
place_BRME,,Z.A. Mendiko Borda,,43.44202200,-1.32326200,,,1,,0,Briscous,,place_CD64-10760,
place_ALER,,ZA Erreka Gorri,,43.09404290,-1.42498170,,,1,,0,Aldudes,,place_64016MIGE,
place_BAZA,,ZAC Makila,,43.44063200,-1.48790200,,,1,,0,Bassussarry,,place_27551,
VIBO01,,Abense de bas Bourg,Abense de bas Bourg - Viodos-Abense-de-Bas,43.25970000,-0.88000000,,,0,place_VIBO,0,Viodos-Abense-de-Bas,0,26764_1,VIBO01
VIBO02,,Abense de bas Bourg,Abense de bas Bourg - Viodos-Abense-de-Bas,43.25930000,-0.87990000,,,0,place_VIBO,0,Viodos-Abense-de-Bas,1,26764_2,VIBO02
AGUE01,,Aguerria,Aguerria - Mouguerre,43.46972600,-1.42618700,,,0,place_AGUE,0,Mouguerre,0,15748_1,AGUE01
AGUE02,,Aguerria,Aguerria - Mouguerre,43.46926026,-1.42530425,,,0,place_AGUE,0,Mouguerre,1,15748_2,AGUE02
ALAI02,,Aire de covoiturage des Aldudes,Aire de covoiturage des Aldudes - Aldudes,43.09832160,-1.42717780,,,0,place_ALAI,0,Aldudes,,64016PERK01,ALAI02
HAALD2,,Aldabidea,Hasparren - Aldabidea,43.39506000,-1.30960000,,,0,place_HAALD,0,Hasparren,1,,HAALD2
SOAL02,,Alegera,Souraïde - Alegera,43.33967347,-1.47044326,,,0,place_SOAL1,0,Souraïde,0,,SOAL02
ITAL01,,Altzueta,Altzueta - Itxassou,43.35019600,-1.41501900,,,0,place_ITAL,0,Itxassou,,534500001,ITAL01
SOUAM1,,Amespetou,Souraïde - Amespetou,43.33577759,-1.50740460,,,0,place_SOUAM,0,Souraïde,0,,SOUAM1
SOUAM2,,Amespetou,Souraïde - Amespetou,43.33593854,-1.50753200,,,0,place_SOUAM,0,Souraïde,1,,SOUAM2
CAAN01,,Annie-Enia,Annie-Enia - Cambo-les-Bains,43.35707800,-1.40384100,,,0,place_CAAN,0,Cambo-les-Bains,0,766220009,CAAN01
CAAN02,,Annie-Enia,Annie-Enia - Cambo-les-Bains,43.35708200,-1.40392800,,,0,place_CAAN,0,Cambo-les-Bains,1,766170005,CAAN02
