shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
N30042,43.34899139,-1.76853204,50032,4.468000
N30042,43.34896469,-1.76848304,50033,4.473000
N30042,43.34887695,-1.76830399,50034,4.490000
N30042,43.34881210,-1.76820099,50035,4.502000
N30042,43.34876251,-1.76810801,50036,4.511000
N30042,43.34874725,-1.76803398,50037,4.517000
N30042,43.34870911,-1.76796401,50038,4.524000
N30042,43.34851837,-1.76761401,50039,4.560000
N30042,43.34830856,-1.76723397,50040,4.598000
N30042,43.34827042,-1.76717401,50041,4.605000
N30042,43.34812927,-1.76699102,50042,4.626000
N30042,43.34798050,-1.76682401,50043,4.648000
N30042,43.34785461,-1.76673496,50044,4.663000
N30042,43.34769821,-1.76663399,50045,4.683000
N30042,43.34754181,-1.76653600,50046,4.702000
N30042,43.34736252,-1.76642203,50047,4.723000
N30042,43.34732056,-1.76638997,50048,4.729000
N30042,43.34706116,-1.76617301,50049,4.763000
N30042,43.34674072,-1.76584196,50050,4.808000
N30042,43.34651947,-1.76558197,50051,4.840000
N30042,43.34642792,-1.76543796,50052,4.855000
N30042,43.34635544,-1.76520002,50053,4.876000
N30042,43.34620667,-1.76466203,50054,4.923000
N30042,43.34612274,-1.76435995,50055,4.949000
N30042,43.34603119,-1.76398695,50056,4.981000
N30042,43.34585190,-1.76333201,50057,5.038000
N30042,43.34578323,-1.76301396,50058,5.065000
N30042,43.34577560,-1.76295900,60002,5.069000
N30042,43.34576035,-1.76288199,60003,5.076000
N30042,43.34573746,-1.76284599,60004,5.080000
N30042,43.34571838,-1.76280499,60005,5.083000
N30042,43.34568787,-1.76273203,60006,5.090000
N30042,43.34564972,-1.76268697,60007,5.096000
N30042,43.34561157,-1.76265299,60008,5.101000
N30042,43.34557724,-1.76264703,60009,5.105000
N30042,43.34554672,-1.76263499,60010,5.108000
N30042,43.34552002,-1.76261103,60011,5.112000
N30042,43.34550095,-1.76257598,60012,5.115000
N30042,43.34549332,-1.76254702,60013,5.118000
N30042,43.34548950,-1.76251101,60014,5.121000
N30042,43.34549332,-1.76247394,60015,5.124000
N30042,43.34550476,-1.76243997,60016,5.127000
N30042,43.34552383,-1.76240301,60017,5.130000
N30042,43.34554672,-1.76237595,60018,5.134000
N30042,43.34557343,-1.76236200,60019,5.137000
N30042,43.34561539,-1.76235497,60020,5.141000
N30042,43.34565353,-1.76231694,60021,5.147000
N30042,43.34571075,-1.76226294,60022,5.154000
N30042,43.34576416,-1.76221299,60023,5.162000
N30042,43.34589767,-1.76207995,60024,5.180000
N30042,43.34595108,-1.76206005,60025,5.186000
N30042,43.34606552,-1.76192105,60026,5.203000
N30042,43.34616852,-1.76179004,60027,5.219000
N30042,43.34633255,-1.76157796,60028,5.244000
N30042,43.34648514,-1.76136804,60029,5.268000
N30042,43.34658051,-1.76122403,60030,5.283000
N30042,43.34662247,-1.76116395,60031,5.290000
N30042,43.34663010,-1.76110005,60032,5.295000
N30042,43.34669113,-1.76096904,60033,5.308000
N30042,43.34677124,-1.76081204,60034,5.324000
N30042,43.34679794,-1.76073599,60035,5.330000
N30042,43.34680939,-1.76069605,60036,5.334000
N30042,43.34684372,-1.76055396,60037,5.346000
N30042,43.34685135,-1.76044202,60038,5.355000
N30042,43.34685135,-1.76037300,60039,5.361000
N30042,43.34685516,-1.76031804,60040,5.365000
N30042,43.34687805,-1.76023197,60041,5.373000
N30042,43.34687042,-1.76012802,60042,5.381000
N30042,43.34683990,-1.75979197,60043,5.409000
N30042,43.34681320,-1.75951195,60044,5.431000
N30042,43.34679794,-1.75938499,60045,5.442000
N30042,43.34674454,-1.75886500,60046,5.484000
N30042,43.34672546,-1.75863898,60047,5.503000
N30042,43.34671021,-1.75850201,60048,5.514000
N30042,43.34668350,-1.75826097,60049,5.534000
N30042,43.34664154,-1.75782096,60050,5.570000
N30042,43.34659195,-1.75735795,60051,5.608000
N30042,43.34654999,-1.75688803,60052,5.646000
N30042,43.34647751,-1.75622797,60053,5.700000
N30042,43.34643555,-1.75577295,60054,5.738000
N30042,43.34637070,-1.75517201,60055,5.787000
N30042,43.34632492,-1.75473702,60056,5.823000
N30042,43.34626007,-1.75410998,60057,5.874000
N30042,43.34621811,-1.75367498,60058,5.910000
N30042,43.34615326,-1.75305700,60059,5.960000
N30042,43.34609222,-1.75249898,60060,6.006000
N30042,43.34607315,-1.75231802,60061,6.021000
N30042,43.34606934,-1.75218201,60062,6.032000
N30042,43.34607315,-1.75203598,60063,6.044000
N30042,43.34609604,-1.75187504,60064,6.057000
N30042,43.34611893,-1.75172496,60065,6.070000
N30042,43.34617233,-1.75153506,60066,6.086000
N30042,43.34629059,-1.75121605,60067,6.115000
N30042,43.34633255,-1.75110698,60068,6.125000
N30042,43.34635925,-1.75104904,60069,6.131000
N30042,43.34637833,-1.75094104,60070,6.139000
N30042,43.34650803,-1.75065696,60071,6.167000
N30042,43.34664536,-1.75038397,60072,6.194000
N30042,43.34684372,-1.75004005,60073,6.229000
N30042,43.34698486,-1.74983001,60074,6.253000
N30042,43.34717178,-1.74954998,60075,6.283000
N30042,43.34731293,-1.74936402,60076,6.305000
N30042,43.34743881,-1.74922204,60077,6.323000
N30042,43.34751511,-1.74914706,60078,6.334000
N30042,43.34759903,-1.74907506,60079,6.345000
N30042,43.34766769,-1.74902797,60080,6.353000
N30042,43.34774399,-1.74898803,60081,6.362000
N30042,43.34786224,-1.74893701,60082,6.376000
N30042,43.34799194,-1.74890602,60083,6.391000
N30042,43.34817886,-1.74887502,60084,6.411000
N30042,43.34838486,-1.74884701,60085,6.435000
N30042,43.34873581,-1.74880695,60086,6.473000
N30042,43.34911346,-1.74877405,60087,6.516000
N30042,43.34936142,-1.74874496,60088,6.543000
N30042,43.34950256,-1.74872005,60089,6.559000
N30042,43.34962082,-1.74869204,60090,6.573000
N30042,43.34973145,-1.74864197,60091,6.586000
N30042,43.34982681,-1.74858606,60092,6.597000
N30042,43.34989548,-1.74851596,60093,6.606000
N30042,43.34996033,-1.74843001,60094,6.617000
N30042,43.35001373,-1.74834204,60095,6.626000
N30042,43.35007095,-1.74823797,60096,6.636000
N30042,43.35010529,-1.74811900,60097,6.647000
N30042,43.35013199,-1.74799204,60098,6.657000
N30042,43.35014343,-1.74784398,60099,6.670000
N30042,43.35014343,-1.74770606,60100,6.681000
N30042,43.35013199,-1.74756896,60101,6.692000
N30042,43.35009766,-1.74736500,60102,6.709000
N30042,43.35006332,-1.74719906,60103,6.723000
N30042,43.35002518,-1.74701905,60104,6.738000
N30042,43.34998322,-1.74685097,60105,6.753000
N30042,43.34992599,-1.74657702,60106,6.776000
N30042,43.34993362,-1.74646497,60107,6.785000
N30042,43.34984970,-1.74602604,60108,6.822000
N30042,43.34975815,-1.74550998,60109,6.865000
N30042,43.34972382,-1.74526000,60110,6.885000
N30042,43.34969711,-1.74502695,60111,6.904000
N30042,43.34968567,-1.74478698,60112,6.924000
N30042,43.34968567,-1.74454403,60113,6.944000
N30042,43.34966660,-1.74398398,60114,6.989000
N30042,43.34969711,-1.74276102,60115,7.088000
N30042,43.34989166,-1.74160397,60116,7.185000
N30042,43.34997940,-1.74065804,60117,7.262000
N30042,43.35004044,-1.73992395,60118,7.322000
N30042,43.35012436,-1.73871005,60119,7.421000
N30042,43.35012436,-1.73857296,60120,7.432000
N30042,43.35016632,-1.73844004,60121,7.444000
N30042,43.35021210,-1.73832905,60122,7.454000
N30042,43.35026550,-1.73823595,60123,7.464000
N30042,43.35031128,-1.73816597,60124,7.472000
N30042,43.35036850,-1.73812103,60125,7.479000
N30042,43.35044098,-1.73807502,60126,7.488000
N30042,43.35051727,-1.73804903,60127,7.496000
N30042,43.35058212,-1.73805404,60128,7.504000
N30042,43.35065460,-1.73806500,60129,7.512000
N30042,43.35072708,-1.73809898,60130,7.520000
N30042,43.35079575,-1.73817694,60131,7.530000
N30042,43.35087585,-1.73824406,60132,7.540000
N30042,43.35099792,-1.73833799,60133,7.556000
N30042,43.35120392,-1.73849905,60134,7.583000
N30042,43.35151672,-1.73874998,60135,7.623000
N30042,43.35163879,-1.73882496,60136,7.638000
N30042,43.35175705,-1.73886096,60137,7.651000
N30042,43.35181808,-1.73886299,60138,7.658000
N30042,43.35189438,-1.73886395,70002,7.667000
N30042,43.35197449,-1.73885298,70003,7.675000
N30042,43.35197449,-1.73880005,70004,7.680000
N30042,43.35197830,-1.73877203,70005,7.682000
N30042,43.35198975,-1.73873496,70006,7.685000
N30042,43.35200500,-1.73870504,70007,7.688000
N30042,43.35202408,-1.73868299,70008,7.691000
N30042,43.35203934,-1.73866606,70009,7.693000
N30042,43.35206604,-1.73865104,70010,7.696000
N30042,43.35209274,-1.73864198,70011,7.699000
N30042,43.35211563,-1.73864198,70012,7.702000
N30042,43.35214996,-1.73865294,70013,7.706000
N30042,43.35218430,-1.73845804,70014,7.722000
N30042,43.35222244,-1.73828995,70015,7.736000
N30042,43.35227966,-1.73807096,70016,7.755000
N30042,43.35237885,-1.73776996,70017,7.782000
N30042,43.35243988,-1.73762703,70018,7.795000
N30042,43.35249710,-1.73752701,70019,7.806000
N30042,43.35253143,-1.73745298,70020,7.813000
N30042,43.35263062,-1.73732102,70021,7.828000
N30042,43.35272217,-1.73723197,70022,7.840000
N30042,43.35279083,-1.73717594,70023,7.849000
N30042,43.35289764,-1.73710203,70024,7.863000
N30042,43.35300827,-1.73704696,70025,7.876000
N30042,43.35310745,-1.73702097,70026,7.887000
N30042,43.35327911,-1.73699200,70027,7.906000
N30042,43.35355759,-1.73696101,70028,7.937000
N30042,43.35401535,-1.73690903,70029,7.989000
N30042,43.35433578,-1.73687506,70030,8.024000
N30042,43.35459518,-1.73684597,70031,8.053000
N30042,43.35500717,-1.73679602,70032,8.099000
N30042,43.35525131,-1.73676395,70033,8.126000
N30042,43.35542297,-1.73672998,70034,8.146000
N30042,43.35563278,-1.73666096,70035,8.169000
N30042,43.35581207,-1.73657703,70036,8.191000
N30042,43.35591125,-1.73651898,70037,8.203000
N30042,43.35599518,-1.73646903,70038,8.213000
N30042,43.35610580,-1.73638999,70039,8.226000
N30042,43.35617828,-1.73632896,70040,8.236000
N30042,43.35633850,-1.73619103,70041,8.257000
N30042,43.35646439,-1.73606396,70042,8.274000
N30042,43.35663605,-1.73585796,70043,8.300000
N30042,43.35713196,-1.73524702,70044,8.374000
N30042,43.35736465,-1.73496497,70045,8.408000
N30042,43.35757828,-1.73470700,70046,8.440000
N30042,43.35773087,-1.73452902,70047,8.462000
N30042,43.35780716,-1.73438799,70048,8.476000
N30042,43.35793686,-1.73423302,70049,8.495000
N30042,43.35805511,-1.73407304,70050,8.514000
N30042,43.35814285,-1.73395300,70051,8.528000
N30042,43.35823441,-1.73380196,70052,8.544000
N30042,43.35832214,-1.73362398,70053,8.561000
N30042,43.35839081,-1.73343003,70054,8.579000
N30042,43.35845184,-1.73319495,70055,8.599000
N30042,43.35853577,-1.73284698,70056,8.629000
N30042,43.35860443,-1.73256195,70057,8.653000
N30042,43.35868454,-1.73216796,70058,8.686000
N30042,43.35876465,-1.73180497,70059,8.717000
N30042,43.35882568,-1.73153996,70060,8.739000
N30042,43.35897064,-1.73088598,70061,8.795000
N30042,43.35902023,-1.73076606,70062,8.806000
N30042,43.35916138,-1.73013401,70063,8.860000
N30042,43.35926437,-1.72967601,70064,8.899000
N30042,43.35938644,-1.72912705,70065,8.945000
N30042,43.35948181,-1.72869301,70066,8.982000
N30042,43.35962677,-1.72805595,70067,9.036000
N30042,43.35971832,-1.72755897,70068,9.078000
N30042,43.35984039,-1.72699904,70069,9.125000
N30042,43.35997009,-1.72641206,70070,9.175000
N30042,43.36003494,-1.72613096,70071,9.199000
N30042,43.36002731,-1.72605395,70072,9.205000
N30042,43.36006165,-1.72591698,70073,9.217000
N30042,43.36014175,-1.72556806,70074,9.246000
N30042,43.36019516,-1.72532499,70075,9.267000
N30042,43.36022949,-1.72517705,70076,9.279000
N30042,43.36025620,-1.72504699,70077,9.290000
N30042,43.36027908,-1.72494400,70078,9.299000
N30042,43.36031342,-1.72476006,70079,9.315000
N30042,43.36036682,-1.72454000,70080,9.333000
N30042,43.36040878,-1.72434902,70081,9.349000
N30042,43.36043549,-1.72420800,70082,9.361000
N30042,43.36047363,-1.72402000,70083,9.377000
N30042,43.36052322,-1.72378600,70084,9.397000
N30042,43.36056137,-1.72370100,70085,9.405000
N30042,43.36067581,-1.72316694,70086,9.450000
N30042,43.36073685,-1.72289801,70087,9.473000
N30042,43.36090851,-1.72210002,70088,9.540000
N30042,43.36109543,-1.72123802,70089,9.613000
N30042,43.36125183,-1.72055399,70090,9.671000
N30042,43.36133575,-1.72016001,70091,9.705000
N30042,43.36150360,-1.71942496,70092,9.767000
N30042,43.36163712,-1.71882498,70093,9.818000
N30042,43.36171722,-1.71846402,70094,9.848000
N30042,43.36174011,-1.71834803,70095,9.858000
N30042,43.36177826,-1.71817696,70096,9.873000
N30042,43.36185455,-1.71783602,70097,9.902000
N30042,43.36190033,-1.71759295,70098,9.922000
N30042,43.36193848,-1.71735001,70099,9.942000
N30042,43.36195374,-1.71717894,70100,9.956000
N30042,43.36195755,-1.71701097,70101,9.970000
N30042,43.36195374,-1.71681702,70102,9.986000
N30042,43.36194992,-1.71627700,70103,10.030000
N30042,43.36194992,-1.71594799,70104,10.056000
N30042,43.36194229,-1.71553600,70105,10.090000
N30042,43.36193848,-1.71519101,70106,10.118000
N30042,43.36193848,-1.71422899,70107,10.196000
N30042,43.36193848,-1.71392405,70108,10.220000
N30042,43.36193848,-1.71314394,70109,10.284000
N30042,43.36193848,-1.71255898,70110,10.331000
N30042,43.36193466,-1.71181500,70111,10.391000
N30042,43.36193466,-1.71137297,70112,10.427000
N30042,43.36193085,-1.71105599,70113,10.453000
N30042,43.36193085,-1.71063304,70114,10.487000
N30042,43.36192322,-1.70957899,70115,10.573000
N30042,43.36191940,-1.70920300,70116,10.603000
N30042,43.36191940,-1.70898199,70117,10.621000
N30042,43.36191559,-1.70877504,70118,10.638000
N30042,43.36191559,-1.70853102,70119,10.658000
N30042,43.36191177,-1.70786703,70120,10.711000
N30042,43.36190796,-1.70702803,70121,10.780000
N30042,43.36190033,-1.70673597,70122,10.803000
N30042,43.36187744,-1.70655596,70123,10.818000
N30042,43.36187363,-1.70587504,70124,10.873000
N30042,43.36187363,-1.70565999,70125,10.891000
N30042,43.36186981,-1.70552397,70126,10.902000
N30042,43.36186218,-1.70540094,70127,10.912000
N30042,43.36184692,-1.70523298,70128,10.925000
N30042,43.36182785,-1.70502901,70129,10.942000
N30042,43.36179352,-1.70481002,70130,10.960000
N30042,43.36173248,-1.70453000,70131,10.984000
N30042,43.36169434,-1.70437205,70132,10.998000
N30042,43.36165619,-1.70421696,70133,11.011000
N30042,43.36153793,-1.70377505,70134,11.049000
N30042,43.36145782,-1.70345604,70135,11.076000
N30042,43.36141968,-1.70332205,70136,11.088000
N30042,43.36137390,-1.70311797,70137,11.105000
N30042,43.36136246,-1.70301402,70138,11.114000
N30042,43.36122513,-1.70247996,70139,11.160000
N30042,43.36110306,-1.70202804,70140,11.199000
N30042,43.36105347,-1.70182097,70141,11.216000
N30042,43.36100388,-1.70170605,70142,11.227000
N30042,43.36090088,-1.70116401,70143,11.273000
N30042,43.36087799,-1.70100403,70144,11.286000
N30042,43.36084366,-1.70066905,70145,11.313000
N30042,43.36082840,-1.70039201,70146,11.336000
N30042,43.36081314,-1.70011497,70147,11.358000
N30042,43.36080933,-1.69988894,70148,11.377000
N30042,43.36082840,-1.69943595,70149,11.414000
N30042,43.36083221,-1.69940901,70150,11.416000
N30042,43.36084747,-1.69915104,80002,11.437000
N30042,43.36086655,-1.69896698,80003,11.452000
N30042,43.36089706,-1.69876504,80004,11.469000
N30042,43.36094666,-1.69849002,80005,11.492000
N30042,43.36098099,-1.69830596,80006,11.507000
